id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts300399,Five Came Back: The Reference Films,SHOW,1945,TV-MA,51,['documentation'],['US'],1,,,0.6,
tm84618,Taxi Driver,MOVIE,1976,R,114,"['drama', 'crime']",['US'],0,8.2,808582,40.965,8.179
tm154986,Deliverance,MOVIE,1972,R,109,"['drama', 'action', 'thriller', 'european']",['US'],0,7.7,107673,10.01,7.3
tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,"['fantasy', 'action', 'comedy']",['GB'],0,8.2,534486,15.461,7.811
tm120801,The Dirty Dozen,MOVIE,1967,N/A,150,"['war', 'action']","['GB', 'US']",0,7.7,72662,20.398,7.6
ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,30,"['comedy', 'european']",['GB'],4,8.8,73424,17.617,8.306
tm70993,Life of Brian,MOVIE,1979,R,94,['comedy'],['GB'],0,8,395024,17.77,7.8
tm14873,Dirty Harry,MOVIE,1971,R,102,"['thriller', 'action', 'crime']",['US'],0,7.7,155051,12.817,7.5
tm119281,Bonnie and Clyde,MOVIE,1967,R,110,"['crime', 'drama', 'action']",['US'],0,7.7,112048,15.687,7.5
tm98978,The Blue Lagoon,MOVIE,1980,R,104,"['romance', 'action', 'drama']",['US'],0,5.8,69844,50.324,6.156
tm44204,The Guns of Navarone,MOVIE,1961,N/A,158,"['action', 'drama', 'war']","['GB', 'US']",0,7.5,50748,13.844,7.3
tm67378,The Professionals,MOVIE,1966,PG-13,117,"['western', 'action', 'european']",['US'],0,7.3,16446,13.123,7.1
tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,78,"['comedy', 'documentation']",['US'],0,8.1,5141,4.718,7.5
tm16479,White Christmas,MOVIE,1954,N/A,115,"['romance', 'comedy']",['US'],0,7.5,42488,8.915,7.2
tm135083,Cairo Station,MOVIE,1958,N/A,77,"['drama', 'crime', 'comedy']",['EG'],0,7.5,4471,5.546,7.3
tm89386,Hitler: A Career,MOVIE,1977,PG,150,"['history', 'documentation', 'european']",['DE'],0,7.5,2460,4.305,7.3
tm156453,FTA,MOVIE,1972,R,97,"['war', 'documentation', 'music', 'comedy']",['US'],0,6.2,418,1.268,6.1
tm14350,Alexandria… Why?,MOVIE,1979,N/A,133,['drama'],['EG'],0,7.2,1727,1.37,6
tm81728,The Land,MOVIE,1969,N/A,129,['drama'],['EG'],0,8.1,1958,1.265,8.5
tm94651,Dostana,MOVIE,1980,N/A,161,"['drama', 'comedy', 'crime', 'romance', 'action']",['IN'],0,2.1,25,3.98,4.9
tm27298,Saladin the Victorious,MOVIE,1963,N/A,186,"['action', 'drama', 'war', 'history', 'romance']",['EG'],0,7.6,2508,4.156,7.1
tm100027,Alibaba Aur 40 Chor,MOVIE,1979,N/A,146,"['drama', 'romance', 'action', 'fantasy', 'family']","['SU', 'IN']",0,6.2,565,2.582,6.8
tm19608,The Blazing Sun,MOVIE,1954,N/A,100,"['crime', 'romance', 'drama']",['EG'],0,7.4,1219,2.184,7
tm204541,Dark Waters,MOVIE,1956,N/A,120,"['action', 'drama', 'romance', 'thriller']",['EG'],0,6.7,610,0.849,5.9
tm259855,We Are All for the Fatherland,MOVIE,1979,N/A,74,['documentation'],"['LB', 'CA', 'FR']",0,6.1,47,0.6,5.2
tm356209,Singapore,MOVIE,1960,N/A,158,"['drama', 'thriller', 'crime']",['IN'],0,6.4,84,0.792,6.3
ts45948,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,['comedy'],[],1,8.1,2151,1.487,7
tm200475,"Beirut, Oh Beirut",MOVIE,1975,N/A,110,['drama'],['LB'],0,6.4,108,1.025,7.2
tm90896,The Return of the Prodigal Son,MOVIE,1976,N/A,124,"['music', 'drama', 'crime']","['DZ', 'EG']",0,7.2,780,1.858,5.3
tm336403,Khoon Khoon,MOVIE,1973,N/A,131,"['crime', 'thriller']",['IN'],0,5.1,41,1.948,3.8
tm107372,Manoranjan,MOVIE,1974,N/A,162,"['romance', 'drama', 'comedy']",['IN'],0,6.5,237,1.532,5.3
tm358653,Ujala,MOVIE,1959,N/A,142,"['romance', 'crime', 'drama']",['IN'],0,6.6,78,0.84,6
tm259684,Whispers,MOVIE,1980,N/A,93,['documentation'],"['CA', 'FR', 'LB']",0,7.8,78,0.6,5
tm403346,Chadi Jawani Budhe Nu,MOVIE,1976,N/A,135,['romance'],['IN'],0,4.6,14,0.62,6
tm16812,Bandie,MOVIE,1978,N/A,141,"['drama', 'action', 'romance']",['IN'],0,4.4,35,1.166,6
ts20681,Seinfeld,SHOW,1989,TV-PG,24,['comedy'],['US'],9,8.9,308824,130.213,8.301
tm155787,GoodFellas,MOVIE,1990,R,145,"['drama', 'crime']",['US'],0,8.7,1131681,50.387,8.463
tm22327,Full Metal Jacket,MOVIE,1987,R,117,"['war', 'drama']","['US', 'GB']",0,8.3,729274,32.937,8.1
tm180542,Once Upon a Time in America,MOVIE,1984,R,139,"['crime', 'drama', 'european']","['US', 'IT']",0,8.3,345714,28.937,8.453
tm138875,When Harry Met Sally...,MOVIE,1989,R,96,"['comedy', 'romance', 'drama']",['US'],0,7.7,216199,15.123,7.4
tm2386,A Nightmare on Elm Street,MOVIE,1984,R,91,['horror'],"['GB', 'US']",0,7.4,234068,48.358,7.3
tm133087,Steel Magnolias,MOVIE,1989,PG,119,"['comedy', 'drama', 'romance']",['US'],0,7.3,54946,11.69,7.2
tm177480,Police Academy,MOVIE,1984,R,97,"['crime', 'comedy']",['US'],0,6.7,124881,25.533,6.6
tm54450,Christine,MOVIE,1983,R,110,"['horror', 'thriller', 'european']",['US'],0,6.7,81922,23.418,6.8
ts22082,Knight Rider,SHOW,1982,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",['US'],4,6.9,34115,50.267,7.5
ts21715,Thomas & Friends,SHOW,1984,TV-Y,10,"['animation', 'family', 'comedy', 'fantasy', 'drama', 'action', 'music']",['GB'],24,6.5,5104,42.196,6.5
ts20678,Saved by the Bell,SHOW,1989,TV-G,23,"['family', 'comedy', 'romance']",['US'],5,7.1,35034,19.855,8
tm145608,Awakenings,MOVIE,1990,PG-13,120,"['drama', 'european']",['US'],0,7.8,139240,12.23,7.8
ts25028,Wheel of Fortune,SHOW,1983,TV-G,26,['family'],['US'],39,6.7,3145,5.935,6.8
tm147710,National Lampoon's Christmas Vacation,MOVIE,1989,PG-13,97,"['comedy', 'european']",['US'],0,7.5,185760,18.862,7.2
tm142895,Lean On Me,MOVIE,1989,PG-13,105,['drama'],['US'],0,7.4,20680,19.449,7.3
tm20712,Eddie Murphy Raw,MOVIE,1987,R,90,"['comedy', 'documentation']",['US'],0,7.6,19757,7.992,7.3
tm117580,She's Gotta Have It,MOVIE,1986,R,84,"['romance', 'comedy']",['US'],0,6.7,14472,7.416,6.707
ts23753,Major Dad,SHOW,1989,TV-PG,24,"['comedy', 'family']",['US'],4,6.5,2922,9.849,6.5
tm130586,Endless Love,MOVIE,1981,R,116,"['romance', 'drama']",['US'],0,4.9,8524,19.116,5.7
ts987,Danger Mouse,SHOW,1981,TV-Y,14,"['animation', 'comedy', 'family', 'scifi', 'european']",['GB'],10,7.4,3545,8.55,7.5
tm721687,Vaashi,MOVIE,1983,N/A,123,"['drama', 'thriller']",['IN'],0,6.7,388,3.79,
tm40103,Mobile Suit Gundam: Char's Counterattack,MOVIE,1988,N/A,119,"['scifi', 'animation', 'action', 'drama', 'war']",['JP'],0,7.3,1693,8.092,6.7
tm125985,Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,1981,N/A,133,"['animation', 'scifi', 'action', 'drama', 'war']",['JP'],0,7.2,1274,13.125,7.2
ts2760,Fireman Sam,SHOW,1987,TV-Y,10,"['animation', 'comedy', 'family', 'crime', 'european']",['GB'],13,6.1,1785,37.647,7.2
tm21953,Sam Kinison: Breaking the Rules,MOVIE,1987,R,50,"['comedy', 'documentation']",['US'],0,7.2,660,1.843,7.2
tm126769,Waiting for the Hearse,MOVIE,1985,N/A,87,['comedy'],['AR'],0,8,6399,7.81,8.1
tm152839,Tim Allen: Men Are Pigs,MOVIE,1990,N/A,30,"['comedy', 'documentation']",['US'],0,6.1,360,2.482,6.3
tm49037,Mobile Suit Gundam III: Encounters in Space,MOVIE,1982,N/A,144,"['action', 'drama', 'war', 'animation', 'scifi']",['JP'],0,7.6,1236,12.741,7.5
tm62924,Monty Python Live at the Hollywood Bowl,MOVIE,1982,R,81,"['comedy', 'documentation']",['GB'],0,7.9,15230,6.833,7.4
tm52815,Disco Dancer,MOVIE,1982,N/A,106,"['drama', 'romance']",['IN'],0,6.4,1476,7.879,5.3
tm159912,Agneepath,MOVIE,1990,N/A,174,"['drama', 'action', 'crime']",['IN'],0,7.6,8947,4.062,6.5
tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,1989,N/A,72,['comedy'],['GB'],0,8.1,1522,1.801,6.9
tm38736,Too Young The Hero,MOVIE,1988,N/A,100,"['drama', 'war']",['US'],0,6.7,502,1.485,6.2
tm51083,A Stoning in Fulham County,MOVIE,1988,N/A,120,"['thriller', 'crime', 'drama']",['US'],0,5.9,387,1.01,5.8
tm137013,The Ryan White Story,MOVIE,1989,N/A,102,['drama'],['US'],0,7.2,863,1.981,5.9
tm157603,Dil,MOVIE,1990,N/A,172,"['drama', 'comedy', 'romance']",['IN'],0,6.6,5316,3.992,6.5
tm258072,Adam: His Song Continues,MOVIE,1986,N/A,100,"['crime', 'drama']",['US'],0,7,212,1.603,7
tm114356,The George McKenna Story,MOVIE,1988,N/A,100,['drama'],['US'],0,6,921,2.296,6.1
tm157853,In Defense of a Married Man,MOVIE,1990,N/A,94,"['drama', 'crime']",['US'],0,5.6,207,2.444,4.9
tm132164,Bill Hicks: Sane Man,MOVIE,1989,R,80,['comedy'],['US'],0,,,3.377,7.5
tm446654,Mujrim,MOVIE,1989,N/A,162,"['drama', 'action', 'crime']",['IN'],0,5.4,197,1.418,6
tm348735,Aakhri Adaalat,MOVIE,1988,N/A,148,"['action', 'crime', 'thriller']",['IN'],0,5.1,92,1.374,5
tm151332,"Alexandria, Again and Forever",MOVIE,1989,N/A,105,['drama'],"['FR', 'EG']",0,6.5,658,0.817,5.3
tm342996,Duniya,MOVIE,1984,N/A,170,"['action', 'drama']",['IN'],0,6.3,245,1.394,
